symbol,full_name,description,exchange,type,sector,logo_urls,exchange_logo,is_master
10.75NMB89/90,10.75NMB89/90,10.75% NMB Debenture 2089/2090,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/March2023/158Jzz05MHd7wvuyGztC.png,/storage/stock-full-names/March2023/158Jzz05MHd7wvuyGztC.png,False
ACLBSL,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e40915cb02d1726220565.png,/storage/stock-full-names/alpha-stocks/66e40915cb02d1726220565.png,True
ADBL,ADBL,Agricultural Development Bank Limited,Commercial Banks src:Nepsealpha.com,stock,BANKING,/storage/stock-full-names/alpha-stocks/66e40911a54621726220561.png,/storage/stock-full-names/alpha-stocks/66e40911a54621726220561.png,True
ADBLB86,ADBLB86,"8 Years, 4% Agriculture Bond",Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/February2022/Hz2AiBOQYvRVRFqoi9Oi.jpg,/storage/stock-full-names/February2022/Hz2AiBOQYvRVRFqoi9Oi.jpg,False
ADBLB87,ADBLB87,"9 years, 4% Agriculture  Bond",Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/February2022/E7tbHAsNjKB1MEwhPRzJ.jpg,/storage/stock-full-names/February2022/E7tbHAsNjKB1MEwhPRzJ.jpg,False
ADBLD83,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/February2022/l7eP0EytnInUzCYFmkuq.jpg,/storage/stock-full-names/February2022/l7eP0EytnInUzCYFmkuq.jpg,False
ADLB,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/June2022/HqK8WVSwDC5VycWLUV2Z.jpg,/storage/stock-full-names/June2022/HqK8WVSwDC5VycWLUV2Z.jpg,False
AHL,AHL,Asian Hydropower Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e4091977c121726220569.png,/storage/stock-full-names/alpha-stocks/66e4091977c121726220569.png,True
AHPC,AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e4090f6ebcd1726220559.png,/storage/stock-full-names/alpha-stocks/66e4090f6ebcd1726220559.png,True
AIL,AIL,Ajod Insurance Limited,Non Life Insurance src:Nepsealpha.com,stock,NONLIFEINSU,/storage/stock-full-names/February2022/CPrtzSNCbmZo7vGWj9g6.png,/storage/stock-full-names/February2022/CPrtzSNCbmZo7vGWj9g6.png,False
AKBSL,AKBSL,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/February2022/sZJbeDTlUaGU8n99STPw.png,/storage/stock-full-names/February2022/sZJbeDTlUaGU8n99STPw.png,False
AKJCL,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e4090505bdd1726220549.png,/storage/stock-full-names/alpha-stocks/66e4090505bdd1726220549.png,True
AKPL,AKPL,Arun Kabeli Power Ltd.,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e409023229d1726220546.png,/storage/stock-full-names/alpha-stocks/66e409023229d1726220546.png,True
ALBSL,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e4091837aa71726220568.png,/storage/stock-full-names/alpha-stocks/66e4091837aa71726220568.png,True
